=== LPC Import Credits ===
Generated: 2026-03-01 22:29:23
Total items: 1101

All assets imported under their respective safe licenses (CC0, OGA-BY, CC-BY).
Assets requiring GPL or CC-BY-SA were excluded from import.

[Afro] (female) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-hair
[Folded Rim Boots] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Folded Rim Boots] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Formal Pants] (female) Authors: bluecarrot16, JaidynReiman, ElizaWy, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-2-characters ; https://opengameart.org/content/lpc-gentleman ; https://opengameart.org/content/lpc-expanded-pants
[Formal Pants] (male) Authors: bluecarrot16, JaidynReiman, ElizaWy, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-2-characters ; https://opengameart.org/content/lpc-gentleman ; https://opengameart.org/content/lpc-expanded-pants
[Frankenstein] (female) Authors: Stephen Challener (Redshrike), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-folk
[Frankenstein] (male) Authors: Stephen Challener (Redshrike), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-folk
[Frock coat buttons] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Frock coat lace] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Frock coat lapel] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Frock collar] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Glasses] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Glasses] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Gloves] (female) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Gloves] (female) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16, JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Gloves] (male) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Gloves] (male) Authors: Michael Whitlock (bigbeargames), Matthew Krohn (makrohn), Johannes Sjölund (wulax), bluecarrot16, JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; http://opengameart.org/content/lpc-clothing-updates
[Glowsword] (female) Authors: bluecarrot16, tskaufma, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-glow-sword ; https://opengameart.org/content/lpc-extended-weapon-animations
[Glowsword] (male) Authors: bluecarrot16, tskaufma, Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-glow-sword ; https://opengameart.org/content/lpc-extended-weapon-animations
[Gnarled staff] (female) Authors: bluecarrot16 | License: OGA-BY 3.0+, GPL 3.0, CC-BY 4.0 | https://opengameart.org/content/lpc-more-weapons
[Gnarled staff] (male) Authors: bluecarrot16 | License: OGA-BY 3.0+, GPL 3.0, CC-BY 4.0 | https://opengameart.org/content/lpc-more-weapons
[Goblin] (female) Authors: bluecarrot16, Stephen Challener (Redshrike), William.Thomsponj | License: OGA-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-goblin ; https://opengameart.org/content/lpc-folk
[Goblin] (male) Authors: bluecarrot16, Stephen Challener (Redshrike), William.Thomsponj | License: OGA-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-goblin ; https://opengameart.org/content/lpc-folk
[Grated visor] (female) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Grated visor] (male) Authors: bluecarrot16 | License: CC-BY 3.0, CC-BY 4.0, OGA-BY 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Greathelm] (female) Authors: bluecarrot16 | License: OGA-BY 3.0, CC-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Greathelm] (male) Authors: bluecarrot16 | License: OGA-BY 3.0, CC-BY 3.0, CC-BY 4.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/lpc-helmets ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hair Tie Rune] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-relm-hair-xlong-ponytail ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hair Tie Rune] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-relm-hair-xlong-ponytail ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hair Tie] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-relm-hair-xlong-ponytail ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hair Tie] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-relm-hair-xlong-ponytail ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Half up] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair
[Half up] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair
[Halfmessy] (female) Authors: Nila122, bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0, GPL 2.0 | https://opengameart.org/content/more-lpc-clothes-and-hair ; https://opengameart.org/content/lpc-hair
[Halfmessy] (male) Authors: Nila122, bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0, GPL 2.0 | https://opengameart.org/content/more-lpc-clothes-and-hair ; https://opengameart.org/content/lpc-hair
[Halfmoon Glasses] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Halfmoon Glasses] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head%20Accessories ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Handlebar Mustache] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Handlebar Mustache] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Hanging Elven Ears] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-new-elven-ear-variants
[Hanging Elven Ears] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-new-elven-ear-variants
[Happy] (female) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Happy] (male) Authors: JaidynReiman, ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head ; https://opengameart.org/content/ulpc-expanded-expressions
[Heater Shield Base] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Heater Shield Base] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Heater Shield Paint] (female) Authors: bluecarrot16, ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Shield%2001%20-%20Heater%20Shield ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Heater Shield Paint] (male) Authors: bluecarrot16, ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Shield%2001%20-%20Heater%20Shield ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Heater shield pattern] (female) Authors: bluecarrot16, Sander Frenken (castelonia) | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Heater shield pattern] (male) Authors: bluecarrot16, Sander Frenken (castelonia) | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Heater Shield Trim] (female) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Heater Shield Trim] (male) Authors: bluecarrot16, Sander Frenken (castelonia), ElizaWy | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-shields
[Helmet wings] (female) Authors: bluecarrot16, DCSS authors | License: CC0 | http://opengameart.org/content/dungeon-crawl-32x32-tiles ; https://opengameart.org/content/cc0-headgear-icons ; https://opengameart.org/content/lpc-helmets-mega-pack ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Helmet wings] (male) Authors: bluecarrot16, DCSS authors | License: CC0 | http://opengameart.org/content/dungeon-crawl-32x32-tiles ; https://opengameart.org/content/cc0-headgear-icons ; https://opengameart.org/content/lpc-helmets-mega-pack ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[High Bun] (female) Authors: JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-expanded-xlong-hair
[High Bun] (male) Authors: JaidynReiman | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-expanded-xlong-hair
[High ponytail] (female) Authors: JaidynReiman, ElizaWy, bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair ; https://opengameart.org/content/lpc-expanded-hair
[High ponytail] (male) Authors: JaidynReiman, ElizaWy, bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-hair ; https://opengameart.org/content/lpc-expanded-hair
[High Socks] (female) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-socks-shoes
[High Socks] (female) Authors: JaidynReiman, ElizaWy, Bluecarrot16, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-socks-shoes
[High Socks] (male) Authors: ElizaWy, JaidynReiman | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-socks-shoes
[High Socks] (male) Authors: JaidynReiman, ElizaWy, Bluecarrot16, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-socks-shoes
[Hijab] (female) Authors: thecilekli | License: CC0 | https://opengameart.org/content/lpc-hijab ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hijab] (male) Authors: thecilekli | License: CC0 | https://opengameart.org/content/lpc-hijab ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hood] (female) Authors: Johannes Sjölund (wulax), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Hood] (male) Authors: Johannes Sjölund (wulax), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Horseshoe Mustache] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Horseshoe Mustache] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Hose] (female) Authors: ElizaWy, JaidynReiman, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-pants
[Hose] (female) Authors: JaidynReiman, ElizaWy, bluecarrot16, JaidynReiman, ElizaWy, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-pants
[Hose] (male) Authors: ElizaWy, JaidynReiman, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more ; https://opengameart.org/content/lpc-expanded-pants
[Hose] (male) Authors: JaidynReiman, ElizaWy, bluecarrot16, JaidynReiman, ElizaWy, Johannes Sjölund (wulax), Stephen Challener (Redshrike) | License: OGA-BY 3.0, GPL 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing ; https://opengameart.org/content/lpc-expanded-pants
[Human Elderly Small] (female) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Elderly Small] (male) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Female Elderly] (female) Authors: Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-revised-elders ; https://opengameart.org/content/lpc-character-bases
[Human Female Elderly] (male) Authors: Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-revised-elders ; https://opengameart.org/content/lpc-character-bases
[Human Female Small] (female) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Female Small] (male) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Female] (female) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/ ; https://opengameart.org/content/lpc-character-bases
[Human Female] (male) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/ ; https://opengameart.org/content/lpc-character-bases
[Human Male Elderly] (female) Authors: Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-revised-elders ; https://opengameart.org/content/lpc-character-bases
[Human Male Elderly] (male) Authors: Benjamin K. Smith (BenCreating), Eliza Wyatt (ElizaWy), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-revised-elders ; https://opengameart.org/content/lpc-character-bases
[Human Male Gaunt] (female) Authors: Stephen Challener (Redshrike), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-folk
[Human Male Gaunt] (male) Authors: Stephen Challener (Redshrike), bluecarrot16 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-folk
[Human Male Small] (female) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Male Small] (male) Authors: ElizaWy, Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY | 
[Human Male] (female) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-character-bases
[Human Male] (male) Authors: bluecarrot16, Benjamin K. Smith (BenCreating), Stephen Challener (Redshrike) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles ; https://opengameart.org/content/lpc-character-bases
[Idol] (female) Authors: thecilekli, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors ; https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Idol] (male) Authors: thecilekli, bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-korean-idol-hairstyle-male-with-12-colors ; https://opengameart.org/content/lpc-hair ; https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Jabot] (female) Authors: bluecarrot16 | License: OGA-BY 3.0, GPL 3.0 | https://opengameart.org/content/lpc-pirates
[Jabot] (male) Authors: bluecarrot16 | License: OGA-BY 3.0, GPL 3.0 | https://opengameart.org/content/lpc-pirates
[Jacket pockets] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Jewfro] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles ; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24
[Jewfro] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles ; https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24
[Katana] (female) Authors: Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md) | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-dcss-swords
[Katana] (male) Authors: Pierre Vigier and DCSS artists (see https://github.com/crawl/tiles/blob/master/ARTISTS.md) | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-dcss-swords
[Kerchief] (female) Authors: bluecarrot16, JaidynReiman, Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/more-lpc-clothes-and-hair ; https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Kerchief] (male) Authors: bluecarrot16, JaidynReiman, Nila122 | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 2.0, GPL 3.0 | https://opengameart.org/content/more-lpc-clothes-and-hair ; https://opengameart.org/content/lpc-pirates ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Kettle helm] (female) Authors: Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Kettle helm] (male) Authors: Johannes Sjölund (wulax) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Kimono Oversized Sleeves Trim] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Kimono Oversized Sleeves] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Kimono Sleeves Trim] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Kimono Sleeves] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Kimono Trim] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Kimono] (female) Authors: JaidynReiman, Stephen Challener (Redshrike), Johannes Sjölund (wulax) | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0 | https://opengameart.org/content/lpc-kimono-relm
[Lace Cuffs] (male) Authors: bluecarrot16 | License: OGA-BY 3.0 | https://opengameart.org/content/lpc-pirates
[Lampshade Mustache] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Lampshade Mustache] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Hair ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Large Beaded Necklace] (female) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-jewelry
[Large Beaded Necklace] (male) Authors: bluecarrot16 | License: CC0 | https://opengameart.org/content/lpc-jewelry
[Large Curls XLong] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0+ | https://opengameart.org/content/lpc-expanded-xlong-hair
[Large Curls XLong] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0+ | https://opengameart.org/content/lpc-expanded-xlong-hair
[Large Curls] (female) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0+ | https://opengameart.org/content/lpc-expanded-xlong-hair
[Large Curls] (male) Authors: JaidynReiman | License: OGA-BY 3.0+, CC-BY 3.0+, GPL 3.0+ | https://opengameart.org/content/lpc-expanded-xlong-hair
[Large nose] (female) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head/Head%20Overlay%2001%20-%20Large%20Nose ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Large nose] (male) Authors: ElizaWy | License: OGA-BY 3.0 | https://github.com/ElizaWy/LPC/tree/main/Characters/Head/Head%20Overlay%2001%20-%20Large%20Nose ; https://opengameart.org/content/lpc-expanded-sit-run-jump-more
[Leather Belt Alt] (female) Authors: Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women
[Leather Belt Alt] (male) Authors: Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women
[Leather Belt] (female) Authors: bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women ; https://opengameart.org/content/lpc-pirates
[Leather Belt] (male) Authors: bluecarrot16, Johannes Sjölund (wulax), Matthew Krohn (makrohn) | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-combat-armor-for-women ; https://opengameart.org/content/lpc-pirates
[Leather Cap Feather] (female) Authors: Johannes Sjölund (wulax), Matthew Krohn (Makrohn), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
[Leather Cap Feather] (male) Authors: Johannes Sjölund (wulax), Matthew Krohn (Makrohn), JaidynReiman | License: OGA-BY 3.0, CC-BY-SA 3.0, GPL 3.0 | https://opengameart.org/content/lpc-medieval-fantasy-character-sprites ; https://opengameart.org/content/lpc-expanded-hats-facial-helmets
